_id,OID,OBJECTID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Leng,Shape_Length,Shape_Area
1,-1,1,55,544,ראשון לציון,מגורים,9948,852978,מגורים,8300,1,0,13,51,24,13,37,13,64,88,23,1,5,51,88,64.480004345699996,202304,3765.786446120000164,3765.786446115574563,852977.610006050905213
2,-1,2,12,2172,טבריה,מגורים,6378,1475818,מגורים,6700,1,0,1,20,1,5,16,0,21,27,4,0,2,17,27,8.131086545850000,202304,6981.506525869999678,6981.506525870123369,1475817.522336745169014
3,-1,3,19,1186,ירושלים,מגורים,12277,346241,מגורים,3000,1,0,3,24,11,9,14,4,27,30,3,0,1,19,30,54.875045066500000,202304,3958.161078099999941,3958.161078102537886,346241.173505906423088
4,-1,4,10,137,הרצלייה,מגורים,5341,499512,מגורים,6400,1,0,0,10,5,0,6,3,10,16,1,2,1,12,16,20.019540779200000,202304,3065.801740190000146,3065.801740193299338,499511.957356023951434
5,-1,5,30,1828,קריית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,6800,3,0,8,63,0,8,54,9,71,66,1,4,0,55,66,58.985304435400003,202304,3692.333819410000160,3692.333819411061995,508601.257332523295190
6,-1,6,25,779,אשדוד,מגורים,4250,339317,מגורים,70,1,0,3,41,6,5,31,7,44,46,3,3,1,31,46,73.677396434399995,202304,2799.189187309999852,2799.189187305653832,339317.093299367406871
7,-1,7,0,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,9000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,4962.864573740000196,4962.864573741636377,681282.354987715836614
8,-1,8,29,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,0,1,1,6,71,1,11,62,5,78,60,1,3,1,46,60,1.004329220990000,202304,34926.830927199996950,34926.830927231058013,28874993.770744860172272
9,-1,9,76,1039,תל אביב -יפו,מגורים,1737,230938,מגורים,5000,1,1,15,84,6,4,82,13,100,170,37,4,8,95,170,329.092424051000023,202304,1966.358977059999916,1966.358977057086804,230938.163402544101700
10,-1,10,37,246,בני ברק,מגורים,19257,435224,מגורים,6100,1,0,8,34,31,21,14,6,42,48,6,0,5,21,48,85.013759856400000,202304,2970.819370140000046,2970.819370144575714,435223.663351726660039
11,-1,11,6,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,0,5,0,0,14,0,2,12,0,14,11,0,0,0,7,11,0.101786770901000,202304,40071.507402199997159,40071.507402210219880,58946756.507707998156548
12,-1,12,26,872,תל מונד,מגורים,6431,2870532,מגורים,154,1,0,5,34,4,7,25,6,39,50,6,1,2,33,50,9.057553960740000,202304,12031.706896800000322,12031.706896758641960,2870532.167150178924203
13,-1,13,3,2244,חריש,מגורים,3785,968525,מגורים,1247,1,1,0,3,3,2,2,0,4,4,1,0,0,2,4,3.097492081410000,202304,4150.275780500000110,4150.275780496822335,968525.478403945802711
14,-1,14,4,1514,דאר סלאח,לא ידוע,0,10193417,עתידי/לא ידוע,0,5,0,2,7,0,2,7,0,9,6,1,0,0,2,6,0.392410112167000,202304,15875.394025400000828,15875.394025431218324,10193417.233599759638309
15,-1,15,9,465,נצר סרני,מגורים,823,2787017,מגורים,0,1,1,6,7,2,0,14,0,14,16,2,4,0,10,16,3.229259311820000,202304,9408.084584140000516,9408.084584137117417,2787016.814368145540357
16,-1,16,0,1132,ירושלים,מגורים,5935,350784,מגורים,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,3081.988916230000086,3081.988916231819530,350783.807113571034279
17,-1,17,67,83,תל אביב -יפו,מגורים,1997,200117,מגורים,5000,1,0,13,77,26,29,49,9,90,118,33,1,12,51,118,334.804429998999979,202304,1981.948448910000025,1981.948448908439104,200116.826411749469116
